0.0,110.13537,76.80568,82.9311,17.43566,287.30777
5.0,42.50444,74.49989,14.0404005,100.14751,231.19225
8.0,98.97638,104.61001,51.807213,57.29428,312.68787
6.0,56.4085,40.33485,87.781105,80.00222,264.52664
7.0,62.8728,115.22026,76.901794,18.18115,273.176
6.0,29.201359,112.706116,80.28884,55.56239,277.7587
6.0,69.48212,65.81677,80.605156,117.512184,333.41623
6.0,4.8018303,75.8539,22.63969,106.95676,210.25218
11.0,12.779519,10.1990595,38.90273,13.57321,75.45452
13.0,2.22,13.093901,90.29462,88.01639,193.6249
12.0,74.95148,107.564476,81.267456,105.22378,369.0072
10.0,6.5619,18.78793,5.947,70.63667,101.9335
11.0,17.280039,91.803535,114.46866,89.45715,313.00937
8.0,32.262062,74.14811,101.98401,113.076675,321.47086
7.0,24.200401,79.996895,31.860779,13.14286,149.20094
6.0,109.41397,7.19025,84.17798,48.89476,249.67694
5.0,4.64392,89.76582,101.27593,50.24421,245.92987
4.0,117.64032,7.59826,39.86716,105.37819,270.48395
3.0,33.427628,22.734539,3.07627,0.28357002,59.52201
2.0,41.81839,60.69452,25.08775,101.60832,229.20895
1.0,58.45866,5.16937,115.11668,28.34252,207.08723
0.0,96.91587,69.92789,70.3597,21.11031,258.31375
13.0,106.94491,2.14747,25.33216,104.281364,238.7059
12.0,84.575066,66.04,97.25314,76.67443,324.54263
11.0,67.308975,19.8115,77.1728,29.982962,194.27623
8.0,109.189964,15.014441,41.18879,83.61511,249.0083
9.0,89.130974,73.14616,17.22741,14.88697,194.3915
5.0,89.354866,66.28411,58.1911,31.64962,245.47969
5.0,24.625029,55.90573,98.562645,112.851616,291.94504
8.0,53.923737,73.721535,100.24192,28.72966,256.61685
9.0,20.863491,67.06476,42.53632,15.5509405,146.0155
6.0,50.38771,102.3132,91.81472,104.01494,348.53055
8.0,54.999943,0.01985,11.35212,57.2514,123.62332
